# x y z p U.x U.y U.z
0.5 0.005 0.05 0 0 0 0
0.5 0.015 0.05 0 0 0 0
0.5 0.025 0.05 0 0 0 0
0.5 0.035 0.05 0 0 0 0
0.5 0.045 0.05 0 0 0 0
0.5 0.055 0.05 0 0 0 0
0.5 0.065 0.05 0 0 0 0
0.5 0.075 0.05 0 0 0 0
0.5 0.085 0.05 0 0 0 0
0.5 0.095 0.05 0 0 0 0
0.5 0.105 0.05 0 0 0 0
0.5 0.115 0.05 0 0 0 0
0.5 0.125 0.05 0 0 0 0
0.5 0.135 0.05 0 0 0 0
0.5 0.145 0.05 0 0 0 0
0.5 0.155 0.05 0 0 0 0
0.5 0.165 0.05 0 0 0 0
0.5 0.175 0.05 0 0 0 0
0.5 0.185 0.05 0 0 0 0
0.5 0.195 0.05 0 0 0 0
0.5 0.205 0.05 0 0 0 0
0.5 0.215 0.05 0 0 0 0
0.5 0.225 0.05 0 0 0 0
0.5 0.235 0.05 0 0 0 0
0.5 0.245 0.05 0 0 0 0
0.5 0.255 0.05 0 0 0 0
0.5 0.265 0.05 0 0 0 0
0.5 0.275 0.05 0 0 0 0
0.5 0.285 0.05 0 0 0 0
0.5 0.295 0.05 0 0 0 0
0.5 0.305 0.05 0 0 0 0
0.5 0.315 0.05 0 0 0 0
0.5 0.325 0.05 0 0 0 0
0.5 0.335 0.05 0 0 0 0
0.5 0.345 0.05 0 0 0 0
0.5 0.355 0.05 0 0 0 0
0.5 0.365 0.05 0 0 0 0
0.5 0.375 0.05 0 0 0 0
0.5 0.385 0.05 0 0 0 0
0.5 0.395 0.05 0 0 0 0
0.5 0.405 0.05 0 0 0 0
0.5 0.415 0.05 0 0 0 0
0.5 0.425 0.05 0 0 0 0
0.5 0.435 0.05 0 0 0 0
0.5 0.445 0.05 0 0 0 0
0.5 0.455 0.05 0 0 0 0
0.5 0.465 0.05 0 0 0 0
0.5 0.475 0.05 0 0 0 0
0.5 0.485 0.05 0 0 0 0
0.5 0.495 0.05 0 0 0 0
0.5 0.505 0.05 0 0 0 0
0.5 0.515 0.05 0 0 0 0
0.5 0.525 0.05 0 0 0 0
0.5 0.535 0.05 0 0 0 0
0.5 0.545 0.05 0 0 0 0
0.5 0.555 0.05 0 0 0 0
0.5 0.565 0.05 0 0 0 0
0.5 0.575 0.05 0 0 0 0
0.5 0.585 0.05 0 0 0 0
0.5 0.595 0.05 0 0 0 0
0.5 0.605 0.05 0 0 0 0
0.5 0.615 0.05 0 0 0 0
0.5 0.625 0.05 0 0 0 0
0.5 0.635 0.05 0 0 0 0
0.5 0.645 0.05 0 0 0 0
0.5 0.655 0.05 0 0 0 0
0.5 0.665 0.05 0 0 0 0
0.5 0.675 0.05 0 0 0 0
0.5 0.685 0.05 0 0 0 0
0.5 0.695 0.05 0 0 0 0
0.5 0.705 0.05 0 0 0 0
0.5 0.715 0.05 0 0 0 0
0.5 0.725 0.05 0 0 0 0
0.5 0.735 0.05 0 0 0 0
0.5 0.745 0.05 0 0 0 0
0.5 0.755 0.05 0 0 0 0
0.5 0.765 0.05 0 0 0 0
0.5 0.775 0.05 0 0 0 0
0.5 0.785 0.05 0 0 0 0
0.5 0.795 0.05 0 0 0 0
0.5 0.805 0.05 0 0 0 0
0.5 0.815 0.05 0 0 0 0
0.5 0.825 0.05 0 0 0 0
0.5 0.835 0.05 0 0 0 0
0.5 0.845 0.05 0 0 0 0
0.5 0.855 0.05 0 0 0 0
0.5 0.865 0.05 0 0 0 0
0.5 0.875 0.05 0 0 0 0
0.5 0.885 0.05 0 0 0 0
0.5 0.895 0.05 0 0 0 0
0.5 0.905 0.05 0 0 0 0
0.5 0.915 0.05 0 0 0 0
0.5 0.925 0.05 0 0 0 0
0.5 0.935 0.05 0 0 0 0
0.5 0.945 0.05 0 0 0 0
0.5 0.955 0.05 0 0 0 0
0.5 0.965 0.05 0 0 0 0
0.5 0.975 0.05 0 0 0 0
0.5 0.985 0.05 0 0 0 0
0.5 0.995 0.05 0 0.18 0 0
